Party,State,Date,Winner,Date_Month
Republican,Iowa,2/1/2016,Cruz,1-Feb
Republican,New Hampshire,2/9/2016,Trump,9-Feb
Republican,South Carolina,2/20/2016,Trump,20-Feb
Republican,Nevada,2/23/2016,Trump,23-Feb
Republican,Alabama,3/1/2016,Trump,1-Mar
Republican,Alaska,3/1/2016,Cruz,1-Mar
Republican,Arkansas,3/1/2016,Trump,1-Mar
Republican,Georgia,3/1/2016,Trump,1-Mar
Republican,Massachusetts,3/1/2016,Trump,1-Mar
Republican,Minnesota,3/1/2016,Rubio,1-Mar
Republican,Oklahoma,3/1/2016,Cruz,1-Mar
Republican,Tennessee,3/1/2016,Trump,1-Mar
Republican,Texas,3/1/2016,Cruz,1-Mar
Republican,Vermont,3/1/2016,Trump,1-Mar
Republican,Virginia,3/1/2016,Trump,1-Mar
Republican,Colorado1,3/1/2016,Cruz,1-Mar
Republican,Kansas,3/5/2016,Cruz,5-Mar
Republican,Kentucky,3/5/2016,Trump,5-Mar
Republican,Louisiana,3/5/2016,Trump,5-Mar
Republican,Maine,3/5/2016,Cruz,5-Mar
Republican,Puerto Rico,3/6/2016,Rubio,6-Mar
Republican,Hawaii,3/8/2016,Trump,8-Mar
Republican,Idaho,3/8/2016,Cruz,8-Mar
Republican,Michigan,3/8/2016,Trump,8-Mar
Republican,Mississippi,3/8/2016,Trump,8-Mar
Republican,Virgin Islands,3/10/2016,Trump,10-Mar
Republican,Wyoming1,3/12/2016,Cruz,12-Mar
Republican,Guam,3/12/2016,Cruz,12-Mar
Republican,District of Columbia,3/12/2016,Rubio,12-Mar
Republican,Florida,3/15/2016,Trump,15-Mar
Republican,Illinois,3/15/2016,Trump,15-Mar
Republican,Missouri,3/15/2016,Trump,15-Mar
Republican,North Carolina,3/15/2016,Trump,15-Mar
Republican,Northern Marianas,3/15/2016,Trump,15-Mar
Republican,Ohio,3/15/2016,Kasich,15-Mar
Republican,American Samoa,3/22/2016,Trump,22-Mar
Republican,Arizona,3/22/2016,Trump,22-Mar
Republican,Utah,3/22/2016,Cruz,22-Mar
Republican,North Dakota,4/1/2016,Cruz,1-Apr
Republican,Wisconsin,4/5/2016,Cruz,5-Apr
Democrat,Iowa,2/1/2016,Clinton,1-Feb
Democrat,New Hampshire,2/9/2016,Sanders,9-Feb
Democrat,Nevada,2/20/2016,Clinton,20-Feb
Democrat,South Carolina,2/27/2016,Clinton,27-Feb
Democrat,Alabama,3/1/2016,Clinton,1-Mar
Democrat,American Samoa,3/1/2016,Clinton,1-Mar
Democrat,Arkansas,3/1/2016,Clinton,1-Mar
Democrat,Colorado,3/1/2016,Sanders,1-Mar
Democrat,Democrats Abroad,3/1/2016,Sanders,1-Mar
Democrat,Georgia,3/1/2016,Clinton,1-Mar
Democrat,Massachusetts,3/1/2016,Clinton,1-Mar
Democrat,Minnesota,3/1/2016,Sanders,1-Mar
Democrat,Oklahoma,3/1/2016,Sanders,1-Mar
Democrat,Tennessee,3/1/2016,Clinton,1-Mar
Democrat,Texas,3/1/2016,Clinton,1-Mar
Democrat,Vermont,3/1/2016,Sanders,1-Mar
Democrat,Virginia,3/1/2016,Clinton,1-Mar
Democrat,Louisiana,3/5/2016,Clinton,5-Mar
Democrat,Nebraska,3/5/2016,Sanders,5-Mar
Democrat,Kansas,3/5/2016,Sanders,5-Mar
Democrat,Maine,3/6/2016,Sanders,6-Mar
Democrat,Mississippi,3/8/2016,Clinton,8-Mar
Democrat,Michigan,3/8/2016,Sanders,8-Mar
Democrat,Northern Marianas,3/12/2016,Clinton,12-Mar
Democrat,Florida,3/15/2016,Clinton,15-Mar
Democrat,Illinois,3/15/2016,Clinton,15-Mar
Democrat,Missouri,3/15/2016,Sanders,15-Mar
Democrat,North Carolina,3/15/2016,Clinton,15-Mar
Democrat,Ohio,3/15/2016,Clinton,15-Mar
Democrat,Arizona,3/22/2016,Clinton,22-Mar
Democrat,Idaho,3/22/2016,Sanders,22-Mar
Democrat,Utah,3/22/2016,Sanders,22-Mar
Democrat,Alaska,3/26/2016,Sanders,26-Mar
Democrat,Hawaii,3/26/2016,Sanders,26-Mar
Democrat,Washington,3/26/2016,Sanders,26-Mar
Democrat,Wisconsin,4/5/2016,Sanders,5-Apr
